Date,kospi,sp500,capped_kospi,capped_sp500,buy_sp500,sell_sp500,VaR_sp500,Change_sp500,buy_kospi,sell_kospi,VaR_kospi,Change_kospi,rf,portfolio,equity_sp500,equity_kospi,cash
09/29/2017,15.485960655655752,13.80865267584049,3.0,3.0,False,False,3.0,0.0033,False,False,3.0,0.0077,3.187318653585791e-05,0.11996140563975788,0.0,0.0,0.11996140563975788
10/10/2017,15.602377649001689,14.112143452638543,3.0,3.0,False,False,3.0,0.0019,False,False,3.0,0.0197,3.187318653585791e-05,0.11996522919201694,0.0,0.0,0.11996522919201694
10/11/2017,15.960537799953974,14.227266859612275,3.0,3.0,False,False,3.0,0.0018,False,False,3.0,0.0113,3.1476328884005866e-05,0.11996900525702563,0.0,0.0,0.11996900525702563
10/12/2017,16.487156518381447,13.224657328641683,3.0,3.0,False,False,3.0,-0.0014000000000000002,False,False,3.0,0.0060999999999999995,3.0285520582484793e-05,0.11997263858080359,0.0,0.0,0.11997263858080359
10/13/2017,16.16788777228264,14.355386368725924,3.0,3.0,False,False,3.0,0.0013,False,False,3.0,-0.0023,2.9888506007269555e-05,0.11997622438373252,0.0,0.0,0.11997622438373252
10/16/2017,16.336985758759468,13.8858158755883,3.0,3.0,False,False,3.0,0.0014000000000000002,False,False,3.0,0.0014000000000000002,3.0285520582484793e-05,0.1199798579261455,0.0,0.0,0.1199798579261455
10/17/2017,16.463149339932013,13.175755821887257,3.0,3.0,False,False,3.0,0.0003,False,False,3.0,0.0021,3.068249591509087e-05,0.11998353920764622,0.0,0.0,0.11998353920764622
10/18/2017,16.41325761774229,13.628649693872255,3.0,3.0,False,False,3.0,0.0012,False,False,3.0,-0.0003,3.187318653585791e-05,0.11998736346537262,0.0,0.0,0.11998736346537262
10/19/2017,16.10812433030589,14.342855309275036,3.0,3.0,False,False,3.0,0.0002,False,False,3.0,-0.0059,3.1476328884005866e-05,0.11999114022708697,0.0,0.0,0.11999114022708697
10/20/2017,15.744615807918036,14.612622764140932,3.0,3.0,False,False,3.0,0.0053,False,False,3.0,0.0074,3.306352425447301e-05,0.11999510755706219,0.0,0.0,0.11999510755706219
10/23/2017,15.636648492746442,14.0460230405499,3.0,3.0,False,False,3.0,-0.0040999999999999995,False,False,3.0,0.0017000000000000001,3.2666784213430944e-05,0.11999902741134742,0.0,0.0,0.11999902741134742
10/24/2017,15.645525608104977,13.980785560456606,3.0,3.0,False,False,3.0,0.0015,False,False,3.0,-0.0015,3.385688677992604e-05,0.12000309020483219,0.0,0.0,0.12000309020483219
10/25/2017,15.670448838712337,13.537003050234526,3.0,3.0,False,False,3.0,-0.0034000000000000002,False,False,3.0,0.0011,3.425350928010218e-05,0.12000720073179616,0.0,0.0,0.12000720073179616
10/26/2017,15.600325697471826,14.567040239315457,3.0,3.0,False,False,3.0,0.0012,False,False,3.0,-0.006999999999999999,3.465009261516272e-05,0.12001135899241601,0.0,0.0,0.12001135899241601
10/27/2017,15.747107543797696,14.674655569986273,3.0,3.0,False,False,3.0,0.0066,False,False,3.0,0.0069,3.346022510730684e-05,0.12001537459950333,0.0,0.0,0.12001537459950333
10/30/2017,15.526706776583941,14.40000866427478,3.0,3.0,False,False,3.0,-0.004,False,False,3.0,0.0034999999999999996,3.187318653585791e-05,0.12001919987192511,0.0,0.0,0.12001919987192511
10/31/2017,16.017564093865882,13.441724922582983,3.0,3.0,False,False,3.0,0.0018,False,False,3.0,0.0097,3.1476328884005866e-05,0.12002297763573268,0.0,0.0,0.12002297763573268
11/01/2017,16.62157519794786,13.410773565908825,3.0,3.0,False,False,3.0,0.0008,False,False,3.0,0.015600000000000001,3.107943201308139e-05,0.12002670788170612,0.0,0.0,0.12002670788170612
11/02/2017,16.455097309481445,13.647146607178161,3.0,3.0,False,False,3.0,0.0008,False,False,3.0,-0.0036,3.0285520582484793e-05,0.12003034295303812,0.0,0.0,0.12003034295303812
11/03/2017,16.5799618425162,13.37789521349641,3.0,3.0,False,False,3.0,0.0023,False,False,3.0,0.0039000000000000003,3.0285520582484793e-05,0.12003397813446015,0.0,0.0,0.12003397813446015
11/06/2017,16.039660348456064,13.271597910471039,3.0,3.0,False,False,3.0,0.0023,False,False,3.0,-0.0042,2.949145218189564e-05,0.1200375181107865,0.0,0.0,0.1200375181107865
11/07/2017,15.882928952591147,12.852540437383658,3.0,3.0,False,False,3.0,-0.0008,False,False,3.0,-0.0019,2.8697226749585525e-05,0.12004096285466219,0.0,0.0,0.12004096285466219
11/08/2017,16.06430203840532,13.259215111132145,3.0,3.0,False,False,3.0,0.0016,False,False,3.0,0.0031,2.8697226749585525e-05,0.12004440769739247,0.0,0.0,0.12004440769739247
11/09/2017,15.737569283861781,13.097266604398735,3.0,3.0,False,False,3.0,-0.0027,False,False,3.0,-0.002,2.949145218189564e-05,0.12004794798130178,0.0,0.0,0.12004794798130178
11/10/2017,15.500734469264842,13.612241795307815,3.0,3.0,False,False,3.0,-0.0017000000000000001,False,False,3.0,-0.0034999999999999996,3.187318653585791e-05,0.12005177429194103,0.0,0.0,0.12005177429194103
11/13/2017,15.477474416057655,13.71535886308412,3.0,3.0,False,False,3.0,0.001,False,False,3.0,-0.0049,3.1476328884005866e-05,0.12005555308107174,0.0,0.0,0.12005555308107174
11/14/2017,15.33132880825883,13.631628652767878,3.0,3.0,False,False,3.0,-0.0015,False,False,3.0,-0.0021,3.107943201308139e-05,0.12005928433947152,0.0,0.0,0.12005928433947152
11/15/2017,14.93474711718664,12.615134620711222,3.0,3.0,True,False,3.0,-0.005,True,False,3.0,-0.0043,2.949145218189564e-05,0.12006282506211462,0.36018847518634384,0.36018847518634384,-0.600314125310573
11/16/2017,14.992978980776282,12.845885155123115,3.0,3.0,False,False,3.0,0.0078000000000000005,False,False,3.0,0.0066,3.0285520582484793e-05,0.1252313582789999,0.36299794529279733,0.3625657191225737,-0.6003323061363711
11/17/2017,15.150979570924834,12.672401423690081,3.0,3.0,False,False,3.0,-0.0034000000000000002,False,False,3.0,-0.0005,2.949145218189564e-05,0.12379817773394342,0.3617637522788018,0.3623844362630124,-0.6003500108078708
11/20/2017,15.907080045638104,12.063735843668212,3.0,3.0,False,False,3.0,0.0022,False,False,3.0,-0.0038,2.9888506007269555e-05,0.12319905356625294,0.3625596325338152,0.36100737540521294,-0.6003679543727752
11/21/2017,15.729400220217416,12.825063469000979,3.0,3.0,False,True,3.0,0.0055000000000000005,False,False,3.0,0.0018,2.9888506007269555e-05,0.12582500071970748,0.0,0.3616571886809423,-0.23780832183896006
11/22/2017,16.64046735310508,13.547821332635268,3.0,3.0,False,False,3.0,-0.0007000000000000001,False,False,3.0,0.0059,2.8697226749585525e-05,0.1259758198158651,0.0,0.3637909660941599,-0.2378151462782948
11/24/2017,16.168971143714945,14.375758830223837,3.0,3.0,False,False,3.0,0.0023,False,False,3.0,0.0028000000000000004,2.949145218189564e-05,0.12698742100691407,0.0,0.3648095807992235,-0.23782215979230942
11/27/2017,15.057451648325008,14.417185679837024,3.0,3.0,False,False,3.0,0.0003,False,False,3.0,-0.0176,2.949145218189564e-05,0.12055975866399443,0.0,0.35838893217715717,-0.23782917351316274
11/28/2017,15.05422939412956,15.338439877269394,3.0,3.0,False,False,3.0,0.009300000000000001,False,False,3.0,0.0044,2.9888506007269555e-05,0.12212956160689267,0.0,0.35996584347873667,-0.237836281871844
11/29/2017,14.817253476924648,14.679701132217023,3.0,3.0,False,False,3.0,-0.0004,False,False,3.0,-0.0009,3.107943201308139e-05,0.12179820053120913,0.0,0.3596418742196058,-0.23784367368839668
11/30/2017,12.852601363601831,15.91853609155837,3.0,3.0,False,False,3.0,0.0088,False,False,3.0,-0.016399999999999998,3.1476328884005866e-05,0.1158925873483116,0.0,0.3537437474824043,-0.2378511601340927
12/01/2017,12.861548571462947,15.84404480445467,3.0,3.0,False,False,3.0,-0.0015,False,False,3.0,-0.0014000000000000002,2.9094359098591482e-05,0.11539042597477125,0.0,0.3532485062359289,-0.23785808026115765
12/04/2017,13.657628424209998,15.049254901559141,3.0,3.0,False,False,3.0,-0.0022,False,False,3.0,0.0123,2.830005512688416e-05,0.11972865120468942,0.0,0.35759346286263083,-0.2378648116579414
12/05/2017,13.914747008351773,14.380060920285471,3.0,3.0,False,False,3.0,-0.0038,False,False,3.0,0.0026,2.7902844222715828e-05,0.1206517571033465,0.0,0.35852320586607367,-0.23787144876272717
12/06/2017,13.051818208834403,14.429936706013356,3.0,3.0,False,False,3.0,0.0004,False,False,3.0,-0.0154,2.7108304539558148e-05,0.11512405144133464,0.0,0.35300194849573613,-0.2378778970544015
12/07/2017,12.293626152791129,15.551215639321427,3.0,3.0,False,False,3.0,0.0039000000000000003,False,False,3.0,-0.0029,2.8697226749585525e-05,0.11409351935474651,0.0,0.3519782428450985,-0.23788472349035197
12/08/2017,12.677602789163183,15.666137317787078,3.0,3.0,False,False,3.0,0.0044,False,False,3.0,0.0034000000000000002,2.8697226749585525e-05,0.1152834187485696,0.0,0.3531749688707718,-0.23789155012220223
12/11/2017,12.729794323485496,16.090343888696314,3.0,3.0,False,False,3.0,0.004,False,False,3.0,0.0013,2.9094359098591482e-05,0.11573562490591585,0.0,0.35363409633030385,-0.237898471424388
12/12/2017,12.404552761813019,16.075013626809024,3.0,3.0,False,False,3.0,0.0013,False,False,3.0,-0.0031,2.8697226749585525e-05,0.11463253218091407,0.0,0.3525378306316799,-0.23790529845076586
12/13/2017,12.786495482087243,15.946188689321586,3.0,3.0,False,False,3.0,0.0006,False,False,3.0,0.006500000000000001,2.7902844222715828e-05,0.11691738984553751,0.0,0.3548293265307858,-0.2379119366852483
12/14/2017,13.122818412121333,16.3331986353234,3.0,3.0,False,False,3.0,-0.005,False,False,3.0,-0.0044,2.7108304539558148e-05,0.11534969141956883,0.0,0.35326807749405037,-0.23791838607448154
12/15/2017,13.470067015256404,17.3555847213468,3.0,3.0,False,False,3.0,0.0059,False,False,3.0,0.0046,2.6710975744803633e-05,0.11696836954380177,0.0,0.354893110650523,-0.2379247411067212
12/18/2017,13.896624786294904,17.324813681739816,3.0,3.0,False,False,3.0,0.0095,False,False,3.0,0.0011,2.7902844222715828e-05,0.11735211318852956,0.0,0.3552834930722386,-0.23793137988370905
12/19/2017,13.658994672228554,17.8105027772724,3.0,3.0,False,False,3.0,-0.0039000000000000003,False,False,3.0,0.0005,2.9888506007269555e-05,0.1175226435215887,0.0,0.3554611348187747,-0.23793849129718603
12/20/2017,13.680960307021257,18.21305427370105,3.0,3.0,False,False,3.0,-0.0009,False,False,3.0,-0.003,3.1476328884005866e-05,0.11644877068692616,0.0,0.3543947514143184,-0.23794598072739226
12/21/2017,12.680223936255679,18.605290023123388,3.0,3.0,False,False,3.0,0.0023,False,False,3.0,-0.018600000000000002,3.0285520582484793e-05,0.109849821992723,0.0,0.3478030090380121,-0.2379531870452891
12/22/2017,12.786595331615842,17.797798405808184,3.0,3.0,False,False,3.0,-0.0007000000000000001,False,False,3.0,0.004699999999999999,2.9888506007269555e-05,0.1114773840699412,0.0,0.34943768318049073,-0.23796029911054953
12/26/2017,12.396875180981153,18.83430601721442,3.0,3.0,False,False,3.0,-0.0005,False,False,3.0,-0.0072,2.949145218189564e-05,0.10895441495625927,0.0,0.3469217318615912,-0.23796731690533193
12/27/2017,12.800501870776216,18.662415647604913,3.0,3.0,False,False,3.0,-0.0006,False,False,3.0,0.0043,2.7108304539558148e-05,0.11043972751276698,0.0,0.34841349530859606,-0.23797376779582907
12/28/2017,13.80103899158169,19.286164298493933,3.0,3.0,False,False,3.0,0.0001,False,False,3.0,0.013999999999999999,2.6710975744803633e-05,0.11531115993554783,0.0,0.3532912842429164,-0.23798012430736856
01/02/2018,13.983014113651063,18.915856387396296,3.0,3.0,False,False,3.0,0.0046,False,False,3.0,0.0039000000000000003,2.7108304539558148e-05,0.11668254470641115,0.0,0.3546691202514638,-0.23798657554505265
01/03/2018,13.902173448135054,20.426418889605944,3.0,3.0,False,False,3.0,0.0067,False,True,3.0,0.0034999999999999996,2.6710975744803633e-05,0.11791752977364434,0.0,0.0,0.11668254470641115
01/04/2018,13.705596290543584,21.00063776593518,3.0,3.0,False,False,3.0,0.004699999999999999,False,False,3.0,-0.0078000000000000005,2.6313607637495906e-05,0.1166856150451107,0.0,0.0,0.1166856150451107
01/05/2018,14.325724885274296,21.434679978712627,3.0,3.0,False,False,3.0,0.0069,False,False,3.0,0.013500000000000002,2.6313607637495906e-05,0.11668868546460194,0.0,0.0,0.11668868546460194
01/08/2018,14.758746325923978,21.009851006940707,3.0,3.0,False,False,3.0,0.0015,False,False,3.0,0.006999999999999999,2.7108304539558148e-05,0.11669184869702384,0.0,0.0,0.11669184869702384
01/09/2018,14.299784218343381,21.496045025328677,3.0,3.0,False,False,3.0,0.002,False,False,3.0,-0.0031,2.9094359098591482e-05,0.11669524377157371,0.0,0.0,0.11669524377157371
01/10/2018,14.375690086963864,20.298992416697303,3.0,3.0,False,False,3.0,-0.0006,False,False,3.0,-0.008,2.9094359098591482e-05,0.1166986389449011,0.0,0.0,0.1166986389449011
