Date,Price,Open,High,Low,Change %,VaR,rf,kelly,kelly_ratio,portfolio,equity,cash
07/30/2013,1685.96,1687.92,1693.19,1682.42,0.0004,-0.0126,0.02,1.2327942515353354,0.012327942515353353,1.3186124595810288e+16,-64611994301383.414,1.351572497076069e+16
07/31/2013,1685.73,1687.76,1698.43,1684.94,-0.0001,-0.0126,0.02,0.36842204793292244,0.0036842204793292245,1.3451112976459306e+16,-64605533101953.27,1.3786039470175904e+16
08/01/2013,1706.87,1689.42,1707.85,1689.42,0.0125,-0.0126,0.02,0.469990065292004,0.00469990065292004,1.372143393707395e+16,-65413102265727.69,1.4061760259579422e+16
08/02/2013,1709.67,1706.1,1709.67,1700.68,0.0016,-0.0126,0.02,0.22393566220879618,0.002239356622087962,1.3996347157313694e+16,-65517763229352.85,1.434299546477101e+16
08/05/2013,1707.14,1708.01,1709.24,1703.55,-0.0015,-0.0126,0.02,0.2774937666349807,0.0027749376663498073,1.4277477701541658e+16,-65419486584508.83,1.462985537406643e+16
08/06/2013,1697.37,1705.79,1705.79,1693.29,-0.005699999999999999,-0.0126,0.02,0.3222609446934776,0.003222609446934776,1.4564435887481922e+16,-65046595510977.125,1.4922452481547758e+16
08/07/2013,1690.91,1695.3,1695.3,1684.91,-0.0038,-0.0126,0.02,0.18538509356027758,0.0018538509356027758,1.485740588603678e+16,-64799418448035.414,1.5220901531178714e+16
08/08/2013,1697.48,1693.35,1700.18,1688.38,0.0039000000000000003,-0.0126,0.02,0.258342579021989,0.00258342579021989,1.5156102112730678e+16,-65052136179982.75,1.5525319561802288e+16
08/09/2013,1691.42,1696.1,1699.42,1686.02,-0.0036,-0.0126,0.02,0.1668951515172665,0.001668951515172665,1.5460267425622306e+16,-64817948489734.81,1.5835825953038334e+16
08/12/2013,1689.47,1688.37,1691.49,1683.35,-0.0012,-0.0126,0.02,-0.5209630826603292,-0.005209630826603292,1.57710080045486e+16,-64740166951547.13,1.61525424720991e+16
08/13/2013,1694.16,1690.65,1696.81,1682.62,0.0028000000000000004,-0.0126,0.02,0.10376524039117552,0.0010376524039117552,1.6087802305147552e+16,-64921439419011.46,1.6475593321541082e+16
08/14/2013,1685.39,1693.88,1695.52,1684.83,-0.0052,-0.0126,0.02,0.33891701594055945,0.0033891701594055946,1.641067188212207e+16,-64583847934032.6,1.6805105187971904e+16
08/16/2013,1655.83,1661.22,1663.6,1652.61,-0.0033,-0.0138,0.02,0.5916114925293993,0.0059161149252939926,1.6740521340037872e+16,-64370721235850.3,1.7141207291731342e+16
08/19/2013,1646.06,1655.25,1659.18,1645.84,-0.0059,-0.0138,0.02,0.8282020821312661,0.008282020821312661,1.7076836570495492e+16,-63990933980558.78,1.748403143756597e+16
08/20/2013,1652.35,1646.81,1658.92,1646.08,0.0038,-0.0138,0.02,0.05186228410401592,0.0005186228410401592,1.7420040503585412e+16,-64234099529684.91,1.783371206631729e+16
