Date,Price,Open,High,Low,Change %,Change,trix,buy_signal,sell_signal,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
02/18/2016,1916.5,1926.75,1933.5,1911.25,-0.33%,-0.0033,0.22502236843420523,False,False,3.821758149236132e-05,-0.0187,-0.304274276051518,0.0,2.3707479453415394,0.0,2.3707479453415394
02/19/2016,1914.5,1917.5,1922.75,1898.5,-0.10%,-0.001,0.2764904968356811,False,False,3.7821350292288614e-05,-0.0187,-0.4524429615805184,0.0,2.370837610230035,0.0,2.370837610230035
02/22/2016,1936.25,1911.0,1943.75,1908.25,1.14%,0.011399999999999999,0.3313632055439278,False,False,3.7028770598634964e-05,-0.0187,-0.11351651364974454,0.0,2.3709253994320307,0.0,2.3709253994320307
02/23/2016,1916.0,1934.0,1938.0,1913.75,-1.05%,-0.0105,0.3204636503182292,False,False,3.5443141822133484e-05,-0.0187,-0.5976519079880191,0.0,2.3710094324772126,0.0,2.3710094324772126
02/24/2016,1930.25,1914.0,1933.75,1886.75,0.74%,0.0074,0.308993590400249,False,False,3.465009261516272e-05,-0.0187,-0.5223061993329067,0.0,2.3710915881736394,0.0,2.3710915881736394
02/25/2016,1950.5,1933.0,1951.5,1920.25,1.05%,0.0105,0.32824250582413245,False,False,3.2666784213430944e-05,-0.0187,-0.29302410774604776,0.0,2.3711690441109003,0.0,2.3711690441109003
02/26/2016,1942.75,1949.0,1968.75,1941.25,-0.40%,-0.004,0.3239307831591189,False,False,3.385688677992604e-05,-0.0187,-0.5038124590009011,0.0,2.371249324512763,0.0,2.371249324512763
02/29/2016,1929.5,1943.0,1956.25,1926.5,-0.68%,-0.0068000000000000005,0.27594009431713185,False,False,3.306352425447301e-05,-0.0187,-0.6563319177528297,0.0,2.3713277263723174,0.0,2.3713277263723174
03/01/2016,1978.0,1928.0,1978.5,1920.75,2.51%,0.025099999999999997,0.31117887516571874,False,False,3.425350928010218e-05,-0.0187,-0.07826442450062689,0.0,2.371408952668599,0.0,2.371408952668599
03/02/2016,1983.5,1976.25,1984.75,1966.25,0.28%,0.0028000000000000004,0.36037050717974867,False,False,3.306352425447301e-05,-0.0187,-0.03844524095333928,0.0,2.371487359806023,0.0,2.371487359806023
03/03/2016,1990.5,1981.75,1992.5,1974.75,0.35%,0.0034999999999999996,0.40045603466660523,False,False,3.187318653585791e-05,-0.0187,0.09034599812621459,0.09034599812621459,2.3715629466650094,0.0,2.3715629466650094
03/04/2016,1995.0,1991.0,2007.5,1984.0,0.23%,0.0023,0.4206874526162304,False,False,3.385688677992604e-05,-0.0187,0.13364445697005847,0.13364445697005847,2.371643240403186,0.0,2.371643240403186
03/07/2016,1999.0,1994.5,2004.5,1984.5,0.20%,0.002,0.42141163981815055,False,False,3.5443141822133484e-05,-0.0187,0.10575980888469634,0.10575980888469634,2.371727298890907,0.0,2.371727298890907
03/08/2016,1981.0,1999.0,2000.25,1976.0,-0.90%,-0.009000000000000001,0.36610658849142846,False,False,3.346022510730684e-05,-0.0187,-0.10448771407047132,0.0,2.3718066574202212,0.0,2.3718066574202212
03/09/2016,1989.0,1981.75,1994.0,1978.0,0.40%,0.004,0.3103349018493258,False,False,3.465009261516272e-05,-0.0187,0.0037636367607730334,0.0037636367607730334,2.3718888407405663,0.0,2.3718888407405663
03/10/2016,1988.75,1990.0,2010.25,1967.25,-0.01%,-0.0001,0.2569235877391736,False,False,3.5839607709364785e-05,-0.0187,0.0017252070550546747,0.0017252070550546747,2.3719738483061485,0.0,2.3719738483061485
03/11/2016,2020.0,1988.5,2022.25,1987.5,1.57%,0.015700000000000002,0.26729321265420425,False,False,3.6632422089954986e-05,-0.0187,0.42601552166135426,0.42601552166135426,2.372060739453346,0.0,2.372060739453346
03/14/2016,2018.75,2019.25,2024.5,2012.0,-0.06%,-0.0006,0.2812300801317958,False,False,3.6632422089954986e-05,-0.0187,0.300584876218243,0.300584876218243,2.3721476337835767,0.0,2.3721476337835767
03/15/2016,2015.75,2019.0,2019.5,2004.5,-0.15%,-0.0015,0.27634652782721225,False,False,3.7425079997044364e-05,-0.0187,0.32422715202433317,0.32422715202433317,2.3722364115985357,0.0,2.3722364115985357
03/16/2016,2027.0,2016.25,2032.25,2006.5,0.56%,0.005600000000000001,0.2777981847306231,False,False,3.465009261516272e-05,-0.0187,0.6479133695769212,0.6479133695769212,2.3723186098099025,0.0,2.3723186098099025
03/17/2016,2039.75,2026.75,2046.75,2015.75,0.63%,0.0063,0.29396543294349553,False,False,3.2666784213430944e-05,-0.0187,0.767354126190116,0.767354126190116,2.3723961058300147,0.0,2.3723961058300147
03/18/2016,2050.07,2041.5,2048.75,2037.0,0.51%,0.0051,0.31823692491232763,False,False,3.0285520582484793e-05,-0.0187,0.9017047866339133,0.9017047866339133,2.3724679550811074,0.0,2.3724679550811074
03/21/2016,2042.75,2036.5,2044.5,2031.0,-0.36%,-0.0036,0.31294713459369816,False,False,3.068249591509087e-05,-0.0187,0.9648302678451104,0.9648302678451104,2.372540748319448,0.0,2.372540748319448
03/22/2016,2042.5,2043.25,2047.5,2028.75,-0.01%,-0.0001,0.28813088604152964,False,False,3.107943201308139e-05,-0.0187,0.9659345866218538,0.9659345866218538,2.3726144855383335,0.0,2.3726144855383335
03/23/2016,2028.75,2043.0,2045.25,2025.25,-0.67%,-0.0067,0.22801809852484206,False,False,2.949145218189564e-05,-0.0187,0.5985047442225728,0.5985047442225728,2.3726844573849797,0.0,2.3726844573849797
03/24/2016,2028.5,2028.0,2030.25,2012.25,-0.01%,-0.0001,0.1643018770079918,False,False,3.107943201308139e-05,-0.0187,0.5521611960926439,0.5521611960926439,2.3727581990702613,0.0,2.3727581990702613
03/28/2016,2028.0,2030.25,2039.75,2022.0,-0.02%,-0.0002,0.1091089845921188,False,False,3.107943201308139e-05,-0.0187,0.4028596582913875,0.4028596582913875,2.3728319430473928,0.0,2.3728319430473928
03/29/2016,2047.5,2027.75,2049.25,2019.25,0.96%,0.0096,0.10236619445853479,False,False,2.6710975744803633e-05,-0.0187,0.5688893921955448,0.5688893921955448,2.37289532370387,0.0,2.37289532370387
03/30/2016,2055.25,2048.5,2064.5,2046.75,0.38%,0.0038,0.12199894163206257,False,False,2.6710975744803633e-05,-0.0187,1.1576588549005316,1.1576588549005316,2.3729587060533066,0.0,2.3729587060533066
03/31/2016,2051.5,2055.5,2059.75,2047.25,-0.18%,-0.0018,0.13290166415059948,False,False,2.5518753453912524e-05,-0.0187,1.3121100496530524,1.3121100496530524,2.373019261001483,0.0,2.373019261001483
04/01/2016,2065.0,2052.75,2067.0,2035.25,0.66%,0.0066,0.15800366126899584,False,False,2.591620020964136e-05,-0.0187,1.2312053876276718,1.2312053876276718,2.3730807606437523,0.0,2.3730807606437523
04/04/2016,2057.5,2064.0,2071.5,2054.25,-0.36%,-0.0036,0.16118486905766952,False,False,2.512126736231579e-05,-0.0187,1.5507522243032328,1.5507522243032328,2.3731403754400127,0.0,2.3731403754400127
04/05/2016,2038.75,2055.5,2055.5,2034.25,-0.91%,-0.0091,0.11701819947471766,False,False,2.4326177140210348e-05,-0.0187,1.1106753920322638,1.1106753920322638,2.3731981048731643,0.0,2.3731981048731643
04/06/2016,2060.25,2042.0,2060.5,2035.0,1.05%,0.0105,0.10503731478401324,False,False,2.5518753453912524e-05,-0.0187,1.4680525887334854,1.4680525887334854,2.3732586659305,0.0,2.3732586659305
04/07/2016,2035.0,2059.75,2062.0,2026.0,-1.23%,-0.0123,0.05602246579611847,False,False,2.392857299393647e-05,-0.0187,1.2018447967034824,1.2018447967034824,2.373315454623721,0.0,2.373315454623721
04/08/2016,2040.75,2034.5,2054.25,2030.25,0.28%,0.0028000000000000004,0.01714131949894857,False,False,2.47237419270796e-05,-0.0187,1.614787516317949,1.614787516317949,2.373374131862533,0.0,2.373374131862533
04/11/2016,2034.5,2041.0,2056.5,2032.5,-0.31%,-0.0031,-0.020609311789697174,True,False,2.6313607637495906e-05,-0.0187,1.5458366405957027,1.5458366405957027,2.373436583898216,3.668945235520159,-1.2955086516219427
04/12/2016,2055.75,2032.5,2058.5,2029.25,1.04%,0.0104,-0.009027653053861877,False,False,2.830005512688416e-05,-0.0187,1.5034169707940586,1.5034169707940586,2.4115569513813675,3.7071022659695685,-1.295545314588201
04/13/2016,2076.0,2055.25,2077.0,2054.0,0.99%,0.009899999999999999,0.05116785876779811,False,True,2.7505594029753055e-05,-0.0187,1.8348969353366573,1.8348969353366573,2.448221629070996,0.0,2.448221629070996
04/14/2016,2076.5,2076.25,2081.75,2068.5,0.02%,0.0002,0.10911470676934988,False,False,2.7902844222715828e-05,-0.0187,2.234624098140735,2.234624098140735,2.4482899414177344,0.0,2.4482899414177344
