Date,Price,Open,High,Low,Change %,Change,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
01/10/2022,4670.29,4655.34,4673.02,4582.24,-0.14%,-0.0014000000000000002,-8.408797013359504e-06,-0.0158,10.741459933897696,10.741459933897696,-1.1805327690924212,-13.891593151674073,12.730428830196468
01/11/2022,4713.07,4669.14,4714.13,4638.27,0.92%,0.0092,-1.1616785114187955e-05,-0.0148,13.899898637780867,13.899898637780867,-1.1611643214776048,-14.019395808669476,12.730280943540336
01/12/2022,4726.35,4728.59,4748.83,4706.71,0.28%,0.0028000000000000004,-9.210553833294277e-06,-0.0148,13.624950669936707,13.624950669936707,-1.2891148651291395,-14.058650116933748,12.730163690602392
01/13/2022,4659.02,4733.56,4744.13,4650.29,-1.42%,-0.014199999999999999,-9.210553833294277e-06,-0.0148,12.890838437053354,12.890838437053354,-1.3284864263313558,-13.85901728527329,12.730046438744413
01/14/2022,4662.85,4637.99,4665.13,4614.75,0.08%,0.0008,-6.405104955087282e-06,-0.0148,12.441218085197084,12.441218085197084,-1.1289708465288761,-13.870104499101506,12.729964901460889
01/18/2022,4577.34,4632.24,4632.24,4568.7,-1.83%,-0.0183,-4.802870772202539e-06,-0.0158,11.862311253736577,0.0,-1.1401395976406175,-13.616281586767949,12.729903761084532
01/19/2022,4532.76,4588.03,4611.55,4530.2,-0.97%,-0.0097,-4.402412085435792e-06,-0.0158,11.516742105338363,11.516742105338363,-0.8863778256834163,-13.4842036553763,12.729847718802368
01/20/2022,4482.73,4547.35,4602.11,4477.95,-1.10%,-0.011000000000000001,-4.001993326285813e-06,-0.0158,11.320922220407358,11.320922220407358,-0.7543559365739316,-8.540004884456026,7.785648947882094
01/21/2022,4397.93,4471.38,4494.52,4395.34,-1.89%,-0.0189,-7.2064618198419694e-06,-0.0163,10.506450050507956,0.0,-0.7543559365739325,-8.378598792139806,7.785592840900208
01/24/2022,4410.13,4356.32,4417.35,4222.62,0.28%,0.0028000000000000004,-7.6072002235250125e-06,-0.0163,10.470206511894393,10.470206511894393,-0.593005951239598,-8.402058868757797,7.785533614336609
01/25/2022,4356.45,4366.64,4411.01,4287.11,-1.22%,-0.012199999999999999,-6.405104955087282e-06,-0.0158,11.02616227642517,11.02616227642517,-0.6165252544211874,-8.299553750558951,7.785483747176678
01/26/2022,4349.93,4408.43,4453.23,4304.8,-0.15%,-0.0015,-4.001993326285813e-06,-0.0158,10.66149850468248,10.66149850468248,-0.5140700033822734,-8.287104419933113,7.78545258972268
01/27/2022,4326.5,4380.58,4428.74,4309.5,-0.54%,-0.0054,-6.805763399730935e-06,-0.0148,11.446757955130726,11.446757955130726,-0.5016518302104336,-8.242354056065475,7.785399603774394
01/28/2022,4431.85,4336.19,4432.72,4292.46,2.43%,0.024300000000000002,-8.408797013359504e-06,-0.0148,11.629045734583867,11.629045734583867,-0.45695445229108067,-8.442643259627866,7.785334137929458
01/31/2022,4515.55,4431.79,4516.89,4414.02,1.89%,0.0189,-7.6072002235250125e-06,-0.0148,11.683920787359316,11.683920787359316,-0.6573091216984084,-8.602209217234833,7.785274913333864
02/01/2022,4546.54,4519.57,4550.49,4483.53,0.69%,0.0069,-6.004486478028426e-06,-0.0148,11.714531344544133,11.714531344544133,-0.8169343039009691,-8.661564460833752,7.785228166755919
02/02/2022,4589.32,4566.39,4595.31,4544.32,0.94%,0.009399999999999999,-5.603907960560761e-06,-0.0148,11.833894138077298,11.833894138077298,-0.8763362940778325,-8.74298316676559,7.785184539053821
02/03/2022,4477.44,4535.41,4542.88,4470.39,-2.44%,-0.024399999999999998,-3.2012755589727604e-06,-0.0158,10.489361866051764,0.0,-0.9577986277117692,-8.52965437749651,7.785159616532834
02/04/2022,4500.54,4482.79,4539.66,4451.5,0.52%,0.0052,0.0,-0.0158,10.955442950239174,10.955442950239174,-0.7444947609636756,-8.574008580259493,7.785159616532834
