Date,Price,Open,High,Low,Change %,Change,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
09/19/2016,253.93,251.51,254.54,251.38,0.86%,0.0086,2.392857299393647e-05,-0.0028000000000000004,0.6446742725818853,0.6446742725818853,0.3964965596215275,0.0,0.3965060472183963
09/20/2016,255.09,253.86,255.23,253.33,0.46%,0.0046,2.392857299393647e-05,-0.0028000000000000004,0.8429556539981078,0.8429556539981078,0.3965060472183963,0.0,0.3965155350422897
09/21/2016,256.52,254.65,256.55,254.56,0.56%,0.005600000000000001,2.193996159971512e-05,-0.0028000000000000004,0.8967571347010734,0.8967571347010734,0.3965155350422897,0.0,0.3965242345779022
09/22/2016,258.34,258.46,259.99,258.13,0.71%,0.0070999999999999995,1.9154250367581227e-05,-0.0028000000000000004,1.4538203847302997,1.4538203847302997,0.3965242345779022,0.0,0.3965318297023681
09/23/2016,258.37,258.44,259.14,257.71,0.01%,0.0001,1.756154740739646e-05,-0.0028000000000000004,1.4263545837776,1.4263545837776,0.3965318297023681,0.0,0.39653879341489395
09/26/2016,257.48,258.07,259.32,256.9,-0.34%,-0.0034000000000000002,1.8357977840777195e-05,-0.0028000000000000004,1.4221447648694547,0.0,0.39653879341489395,0.0,0.39654607306527645
09/27/2016,259.57,256.16,259.87,255.16,0.81%,0.008100000000000001,1.756154740739646e-05,-0.0028000000000000004,1.9561392069647383,1.9561392069647383,0.39654607306527645,0.0,0.3965530370279378
09/28/2016,258.21,259.32,259.46,257.96,-0.52%,-0.0052,1.676495900415631e-05,-0.0028000000000000004,1.670330299757939,0.0,0.3965530370279378,0.0,0.39655968522334656
09/29/2016,260.35,259.6,260.95,259.6,0.83%,0.0083,1.716327295597786e-05,-0.0028000000000000004,2.0607713060795336,2.0607713060795336,0.39655968522334656,0.0,0.3965664914854674
09/30/2016,257.49,258.3,258.91,257.29,-1.10%,-0.011000000000000001,1.716327295597786e-05,-0.0028000000000000004,1.3630402407975946,0.0,0.3965664914854674,0.0,0.396573297864406
10/04/2016,259.18,259.51,259.74,258.55,0.66%,0.0066,1.9950365049981045e-05,-0.0028000000000000004,1.550597677157958,1.550597677157958,0.396573297864406,0.0,0.3965812096464674
